"time","add.y","airHeaterTextWithIO.T_Out_ext"
99,20.05482616609729,20.00857155017273
99.5,20.09211960450641,20.00838825894533
100,19.99959117266885,20.00820883678213
100.0000000101018,19.99265584138684,20.00820883677855
100.0000000101018,19.99582213674498,20.00820883677855
100.5,20.08056294415112,19.96508471910763
101,20.04173443021788,19.92283050248571
101.5,19.83391733528038,19.88147661748504
102,19.7402328743057,19.84100880740913
102.5,19.80390280727908,19.80141173394311
103,19.70033469390661,19.76266493469765
103.5,19.75742522054749,19.72475134133975
104,19.67402235026532,19.68765267956003
104.5,19.62887280994208,19.65136113661221
105,19.51529939590925,19.62088962388252
105.5,19.47353074472082,19.59276274642985
106,19.64484477204051,19.56892616490529
106.5,19.52985892822552,19.54931829283015
107,19.48079312077012,19.53296069790565
107.5,19.43334794900946,19.52553292169539
108,19.49928753926575,19.52878749348799
108.5,19.44264180013104,19.54219699285543
109,19.4239488303698,19.54873520080347
109.5,19.47893801894375,19.55308655252938
110,19.66440314709047,19.56802187935158
110.5,19.70848736761805,19.58945373622061
111,19.69007643518935,19.61035827362436
111.5,19.71938514358486,19.6314880214803
112,19.60904823116116,19.657645142688
112.5,19.75790839636101,19.68211949289105
113,19.69557739716501,19.69312447196587
113.5,19.78254207632187,19.69159310326971
114,19.60020588228455,19.68976626315555
114.5,19.62160656041297,19.68832383694119
115,19.65235196751035,19.69290725179026
115.5,19.71880840195212,19.69609118646093
116,19.74544147147341,19.69537204186436
116.5,19.7794669486153,19.69421730720779
117,19.81066573865927,19.69990262332982
117.5,19.64139630339158,19.71591868871829
118,19.71970380728395,19.72969480432365
118.5,19.68629788808255,19.73860279851073
119,19.73211088216415,19.74303269374287
119.5,19.68083588172697,19.74495145532236
120,19.67853495991016,19.74431379227198
120.5,19.85135258775752,19.75326228348798
121,19.84701169748877,19.76881946139758
121.5,19.69568298086272,19.78316810308936
122,19.70221842953392,19.79814191963066
122.5,19.93350900966025,19.81524597062708
123,19.92308373495188,19.83709401968957
123.5,19.87628532617211,19.85066885228069
124,19.91858881683265,19.85649509449004
124.5,19.83934768872739,19.87373060446578
125,19.86959390261872,19.90150481908956
125.5,19.89007089413393,19.91683181213069
126,19.94646136004455,19.92052444180364
126.5,19.89156064569186,19.92882756057574
127,19.97597985881093,19.9385069439881
127.5,19.8499935764,19.95163165739613
128,20.08001240020033,19.96885254424769
128.5,19.90721593075166,19.98450787081331
129,20.08732545203572,19.99704025656467
129.5,20.10393267830612,20.01102289102013
130,20.07456933724838,20.02456094465827
130.5,20.16144805974002,20.04229235430468
131,20.12049371658804,20.0550887359673
131.5,20.11495465858793,20.06626619153266
132,20.11120481069245,20.07834782042785
132.5,20.14303844209558,20.08042590509189
133,20.16290166146667,20.08365653679856
133.5,20.15912067903137,20.08298081270244
134,20.03773356662109,20.07941040612425
134.5,19.99283924545355,20.07819570164423
135,20.05922538685714,20.07715119636061
135.5,20.16035280740335,20.07393583300838
136,20.15546636591677,20.06704279952375
136.5,20.18054098017863,20.05848601634306
137,20.1155129377182,20.05658551073374
137.5,19.99136753466461,20.06348658737008
138,20.14703465202106,20.06800315691927
138.5,20.09335480990965,20.06166515263251
139,19.998230230607,20.04885662301399
139.5,19.97488871094543,20.03412132302466
140,19.91183355998317,20.02109363872093
140.5,20.10250115305328,20.01876217786482
141,19.92627400133427,20.01408719753777
141.5,19.9948014678272,20.003243650511
142,20.04612343878887,20.00091408181387
142.5,19.89531923943627,20.00517442910881
143,19.99815572673592,20.01411309237819
143.5,20.04474047626112,20.01483615178833
144,19.89063877188152,20.01446380926669
144.5,19.931401166666,20.01955006647374
145,20.00994672477475,20.01725209298056
145.5,19.98084337323698,20.0212002872053
146,20.10816887581736,20.0280234551197
146.5,19.98131534011346,20.02634158603161
147,20.14992315474963,20.0313778195038
147.5,19.98733912414199,20.04319181129674
148,20.05551998523337,20.04830617255598
148.5,20.02031368705253,20.05110304830012
149,19.97882012778289,20.04863503302292
149.5,19.96803502695964,20.0470970405709
150,19.9987638733033,20.04364515630143
150.5,20.02856523043037,20.04085274530815
151,19.94043619149916,20.04432501256914
151.5,20.07145583131345,20.04661757941368
152,19.95573845488281,20.05414157387448
152.5,19.98792156667512,20.06531269189257
153,19.97191730964637,20.0758671677353
153.5,19.97342797704688,20.08342050001206
154,20.03814675501865,20.0945182568345
154.5,20.11988315237063,20.10262875007564
155,20.01653402433124,20.10951247826355
