"time","T_Out_ext","T_amb_ext","u_ext"
44,28.7877,20,3
44.5,28.825,20,3
45,28.8614,20,3
45.5,28.897,20,3
46,28.9318,20,3
46.5,28.9659,20,3
47,28.9993,20,3
47.5,29.0319,20,3
48,29.0638,20,3
48.5,29.095,20,3
49,29.1256,20,3
49.5,29.1555,20,3
50,29.1847,20,3
50.5,29.2133,20,3
51,29.2413,20,3
51.5,29.2686,20,3
52,29.2954,20,3
52.5,29.3216,20,3
53,29.3472,20,3
53.5,29.3723,20,3
54,29.3968,20,3
54.5,29.4208,20,3
55,29.4442,20,3
55.5,29.4672,20,3
56,29.4896,20,3
56.5,29.5116,20,3
57,29.5331,20,3
57.5,29.5541,20,3
58,29.5747,20,3
58.5,29.5948,20,3
59,29.6145,20,3
59.5,29.6337,20,3
60,29.6525,20,3
60.5,29.671,20,3
61,29.689,20,3
61.5,29.7066,20,3
62,29.7239,20,3
62.5,29.7407,20,3
63,29.7572,20,3
63.5,29.7734,20,3
64,29.7892,20,3
64.5,29.8046,20,3
65,29.8198,20,3
65.5,29.8345,20,3
66,29.849,20,3
66.5,29.8632,20,3
67,29.877,20,3
67.5,29.8905,20,3
68,29.9038,20,3
68.5,29.9168,20,3
69,29.9294,20,3
69.5,29.9418,20,3
70,29.954,20,3
70.5,29.9658,20,3
71,29.9775,20,3
71.5,29.9888,20,3
72,29.9999,20,3
72.5,30.0108,20,3
73,30.0214,20,3
73.5,30.0318,20,3
74,30.042,20,3
74.5,30.052,20,3
75,30.0617,20,3
75.5,30.0712,20,3
76,30.0806,20,3
76.5,30.0897,20,3
77,30.0986,20,3
77.5,30.1073,20,3
78,30.1159,20,3
78.5,30.1242,20,3
79,30.1324,20,3
79.5,30.1404,20,3
80,30.1482,20,3
80.5,30.1558,20,3
81,30.1633,20,3
81.5,30.1706,20,3
82,30.1778,20,3
82.5,30.1848,20,3
83,30.1917,20,3
83.5,30.1984,20,3
84,30.2049,20,3
84.5,30.2113,20,3
85,30.2176,20,3
85.5,30.2237,20,3
86,30.2298,20,3
86.5,30.2356,20,3
87,30.2414,20,3
87.5,30.247,20,3
88,30.2525,20,3
88.5,30.2579,20,3
89,30.2631,20,3
89.5,30.2683,20,3
90,30.2733,20,3
90.5,30.2783,20,3
91,30.2831,20,3
91.5,30.2878,20,3
92,30.2924,20,3
92.5,30.2969,20,3
93,30.3013,20,3
93.5,30.3056,20,3
94,30.3099,20,3
94.5,30.314,20,3
95,30.3181,20,3
95.5,30.322,20,3
96,30.3259,20,3
96.5,30.3297,20,3
97,30.3334,20,3
97.5,30.337,20,3
98,30.3405,20,3
98.5,30.344,20,3
99,30.3474,20,3
99.5,30.3507,20,3
100,30.354,20,3
100.5,30.3571,20,1
101,30.3602,20,1
101.5,30.3633,20,1
102,30.3662,20,1
102.5,30.3692,20,1
103,30.372,20,1
103.5,30.3748,20,1
104,30.2253,20,1
104.5,30.0791,20,1
105,29.9361,20,1
105.5,29.7962,20,1
106,29.6593,20,1
106.5,29.5254,20,1
107,29.3944,20,1
107.5,29.2663,20,1
108,29.1409,20,1
108.5,29.0183,20,1
109,28.8983,20,1
109.5,28.781,20,1
110,28.6662,20,1
110.5,28.5539,20,1
111,28.444,20,1
111.5,28.3365,20,1
112,28.2314,20,1
112.5,28.1285,20,1
113,28.0279,20,1
113.5,27.9295,20,1
114,27.8332,20,1
114.5,27.739,20,1
115,27.6468,20,1
115.5,27.5567,20,1
116,27.4685,20,1
116.5,27.3822,20,1
117,27.2978,20,1
117.5,27.2153,20,1
118,27.1345,20,1
118.5,27.0555,20,1
119,26.9782,20,1
119.5,26.9026,20,1
120,26.8286,20,1
120.5,26.7563,20,1
121,26.6855,20,1
121.5,26.6162,20,1
122,26.5485,20,1
122.5,26.4822,20,1
123,26.4174,20,1
123.5,26.3539,20,1
124,26.2919,20,1
124.5,26.2312,20,1
