"time","T_Out_ext","T_amb_ext","u_ext"
61.5,29.7127,20,3
62,29.7298,20,3
62.5,29.7466,20,3
63,29.7629,20,3
63.5,29.779,20,3
64,29.7946,20,3
64.5,29.81,20,3
65,29.825,20,3
65.5,29.8396,20,3
66,29.854,20,3
66.5,29.868,20,3
67,29.8818,20,3
67.5,29.8952,20,3
68,29.9084,20,3
68.5,29.9212,20,3
69,29.9338,20,3
69.5,29.9461,20,3
70,29.9582,20,3
70.5,29.9699,20,3
71,29.9815,20,3
71.5,29.9927,20,3
72,30.0038,20,3
72.5,30.0145,20,3
73,30.0251,20,3
73.5,30.0354,20,3
74,30.0455,20,3
74.5,30.0554,20,3
75,30.0651,20,3
75.5,30.0745,20,3
76,30.0838,20,3
76.5,30.0928,20,3
77,30.1017,20,3
77.5,30.1103,20,3
78,30.1188,20,3
78.5,30.1271,20,3
79,30.1352,20,3
79.5,30.1431,20,3
80,30.1509,20,3
80.5,30.1585,20,3
81,30.1659,20,3
81.5,30.1732,20,3
82,30.1803,20,3
82.5,30.1872,20,3
83,30.194,20,3
83.5,30.2007,20,3
84,30.2072,20,3
84.5,30.2135,20,3
85,30.2198,20,3
85.5,30.2259,20,3
86,30.2318,20,3
86.5,30.2377,20,3
87,30.2434,20,3
87.5,30.2489,20,3
88,30.2544,20,3
88.5,30.2597,20,3
89,30.265,20,3
89.5,30.2701,20,3
90,30.2751,20,3
90.5,30.28,20,3
91,30.2847,20,3
91.5,30.2894,20,3
92,30.294,20,3
92.5,30.2985,20,3
93,30.3029,20,3
93.5,30.3071,20,3
94,30.3113,20,3
94.5,30.3154,20,3
95,30.3194,20,3
95.5,30.3234,20,3
96,30.3272,20,3
96.5,30.331,20,3
97,30.3346,20,3
97.5,30.3382,20,3
98,30.3418,20,3
98.5,30.3452,20,3
99,30.3486,20,3
99.5,30.3519,20,3
100,30.3551,20,3
100.5,30.3582,20,1
101,30.3613,20,1
101.5,30.3643,20,1
102,30.3673,20,1
102.5,30.3702,20,1
103,30.373,20,1
103.5,30.2996,20,1
104,30.1518,20,1
104.5,30.0072,20,1
105,29.8657,20,1
105.5,29.7273,20,1
106,29.5919,20,1
106.5,29.4595,20,1
107,29.33,20,1
107.5,29.2032,20,1
108,29.0792,20,1
108.5,28.958,20,1
109,28.8393,20,1
109.5,28.7232,20,1
110,28.6097,20,1
110.5,28.4986,20,1
111,28.3899,20,1
111.5,28.2836,20,1
112,28.1796,20,1
112.5,28.0779,20,1
113,27.9784,20,1
113.5,27.881,20,1
114,27.7858,20,1
114.5,27.6926,20,1
115,27.6015,20,1
115.5,27.5123,20,1
116,27.4251,20,1
116.5,27.3398,20,1
117,27.2563,20,1
117.5,27.1746,20,1
118,27.0947,20,1
118.5,27.0166,20,1
119,26.9402,20,1
119.5,26.8654,20,1
120,26.7922,20,1
120.5,26.7206,20,1
121,26.6506,20,1
121.5,26.5821,20,1
122,26.5151,20,1
122.5,26.4496,20,1
123,26.3855,20,1
