"time","airHeaterTextWithIO.T_Out_ext","airHeaterTextWithIO.T_amb_ext","airHeaterTextWithIO.u_ext","Reference.y"
123.6,19.95462879214561,18,0.5829014028191449,20
124.8,19.95671182593964,18,0.5865790130034688,20
126,19.95990656951617,18,0.5881118225452615,20
127.2,19.96393731808682,18,0.5877745088618899,20
128.4,19.96841562130313,18,0.5860697568496437,20
129.6,19.97294686417739,18,0.5835732146462286,20
130.8,19.97720184563758,18,0.5808178732091351,20
132,19.98094986975334,18,0.5782270042704687,20
133.2,19.9840712802882,18,0.5760771327552859,20
134.4,19.98655329815799,18,0.5744880515361526,20
135.6,19.98845671380382,18,0.5734605778493683,20
136.8,19.98988270900979,18,0.5729196222827239,20
138,19.99095079386578,18,0.5727441471618494,20
139.2,19.9917805393496,18,0.5727943589937917,20
140.4,19.99247173647783,18,0.5729432393748681,20
141.6,19.99309406271551,18,0.5730978123419168,20
142.8,19.9936907084997,18,0.573197946726274,20
144,19.99427987629281,18,0.5732174883958056,20
145.2,19.99486441585508,18,0.5731523141845734,20
146.4,19.99543729159607,18,0.5730150341645122,20
147.6,19.99598538575774,18,0.5728289876958781,20
148.8,19.9964950062312,18,0.5726203766922938,20
150,19.99695488339699,18,0.5724134137972511,20
151.2,19.99735852469035,18,0.5722264802679455,20
152.4,19.99770476143889,18,0.5720704478853728,20
153.6,19.99799668797911,18,0.5719494015842872,20
154.8,19.99824065462959,18,0.5718615407889752,20
156,19.99844458015173,18,0.5718014098041948,20
157.2,19.99861678631924,18,0.5717616062327959,20
158.4,19.9987647846625,18,0.5717347268573593,20
159.6,19.99889453533725,18,0.5717147294887763,20
160.8,19.99901058188886,18,0.5716969582530254,20
162,19.99911601066081,18,0.571678539101638,20
163.2,19.99921256531175,18,0.5716582943851255,20
164.4,19.99930077396073,18,0.5716367549377409,20
165.6,19.99938078309817,18,0.5716149460973722,20
166.8,19.99945240680296,18,0.5715944679824081,20
168,19.99951586474092,18,0.5715761933628972,20
169.2,19.99957209859843,18,0.5715599975473956,20
170.4,19.99962200519726,18,0.5715454745691765,20
171.6,19.99966757077512,18,0.571530468860157,20
172.8,19.99970813928001,18,0.5715165478577099,20
174,19.99974384337895,18,0.571503927524987,20
175.2,19.99977529605043,18,0.5714925796582014,20
176.4,19.99980260637801,18,0.5714829546593502,20
177.6,19.99982628274205,18,0.5714749035348011,20
178.8,19.99984664335212,18,0.571468573281144,20
